restaurant,total_posts,avg_likes_per_post,review_pos,review_neu,review_neg,comment_pos,comment_neu,comment_neg,quality_score
SPICE N ICE Airoli,4,2.0,1.0,0.0,0.0,0.7,0.2,0.1,5.0
Kalp - Elevated Cuisine and Cocktails,6,2.1666666666666665,1.0,0.0,0.0,0.8,0.2,0.0,5.0
The Atrangii House,6,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.07142857142857142,0.2857142857142857,0.6428571428571429,1.52
Prasad Food Divine,2,0.0,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,1.0
Malvan Tadka,3,1.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,5.0
Sizzling Darbar,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
Garam Masala - Best Seafood and North Indian Restaurant in Airoli,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Bharat Cafe,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5
Cherie,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5
Hotel Jai Malhar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
